slot_id,name,domain,scenario,input_schema,output_schema,allowed_operations,allowed_atom_types,required_metadata_keys,required_config_keys,blocking_missing_fields,risk_rule_ids,notes
correlation_slot,Correlation Slot,analysis,general,"{""type"": ""any numeric data"", ""fields"": [""variable_x"", ""variable_y""]}|{""type"": ""binary_variable + continuous_variable""}","{""type"": ""CorrelationResults"", ""fields"": [""correlation_coefficient"", ""p_value"", ""confidence_interval"", ""r_squared""]}|{""type"": ""CorrelationResults"", ""fields"": [""r"", ""p_value"", ""ci""]}",correlation_analysis|point_biserial_correlation,correlation,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
data_export_slot,Data Export Slot,export,general,"{""type"": ""any""}","{""type"": ""ExportedFile""}",data_export,data_export,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
data_import_slot,Data Import Slot,data_import,general,"{""type"": ""raw_file_path + hardware_format""}|{""type"": ""raw_file_path""}","{""type"": ""RawData"", ""fields"": [""optical_density"", ""timestamps"", ""events"", ""channel_positions""]}|{""type"": ""RawData"", ""fields"": [""optical_density"", ""timestamps"", ""events""]}",data_import|hardware_import,data_import,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
descriptive_statistics_slot,Descriptive Statistics Slot,analysis,general,"{""type"": ""HaemoglobinData | GLMResults | ConnectivityMatrix | FeatureMatrix""}","{""type"": ""DescriptiveStatistics"", ""fields"": [""mean"", ""std"", ""median"", ""count"", ""per_condition"", ""per_channel"", ""per_roi""]}",descriptive_statistics,descriptive_statistics,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
dl_model_slot,Dl Model Slot,machine_learning,classification|representation_learning,"{""type"": ""HaemoglobinData + PretrainedModel""}|{""type"": ""HaemoglobinData"", ""shape"": ""(n_subjects, n_channels, n_timepoints)""}|{""type"": ""HaemoglobinData"", ""shape"": ""(n_subjects, n_channels, n_timepoints, n_features)""}|{""type"": ""HaemoglobinData"", ""shape"": ""(n_subjects, n_timepoints, n_channels)""}|{""type"": ""SourceData + TargetData + Labels""}","{""type"": ""AdaptedModel"", ""fields"": [""adapted_predictions"", ""adaptation_loss"", ""domain_divergence""]}|{""type"": ""ClassificationResults"", ""fields"": [""predictions"", ""accuracy"", ""fine_tune_log""]}|{""type"": ""ClassificationResults"", ""fields"": [""predictions"", ""probabilities"", ""accuracy"", ""attention_maps""]}|{""type"": ""ClassificationResults"", ""fields"": [""predictions"", ""probabilities"", ""accuracy"", ""attention_weights""]}|{""type"": ""ClassificationResults"", ""fields"": [""predictions"", ""probabilities"", ""accuracy"", ""hidden_states""]}|{""type"": ""ClassificationResults"", ""fields"": [""predictions"", ""probabilities"", ""accuracy"", ""loss_curve""]}|{""type"": ""ClassificationResults"", ""fields"": [""predictions"", ""probabilities"", ""accuracy""]}|{""type"": ""LatentRepresentation"", ""fields"": [""latent_codes"", ""reconstructed_data"", ""reconstruction_loss"", ""kl_divergence""]}",1d_cnn_classification|2d_cnn_classification|bidirectional_lstm_classification|cnn_lstm_hybrid_classification|cnn_transformer_hybrid_classification|domain_adaptation|eegnet_classification|gru_classification|lstm_classification|shallow_convnet_classification|temporal_transformer_classification|transfer_learning|transformer_classification|vae_representation,dl_adaptation|dl_classifier|dl_encoder|dl_transfer,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
dl_preprocessing_slot,Dl Preprocessing Slot,machine_learning,preprocessing,"{""type"": ""HaemoglobinData + ShortChannelData""}","{""type"": ""CleanedHaemoglobinData"", ""fields"": [""corrected_hbo"", ""corrected_hbr"", ""predicted_scalp_signal""]}",dl_short_channel_prediction,dl_preprocessing,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
dot_config_slot,Dot Config Slot,analysis,dot,"{""type"": ""TissueTypeLabels""}","{""type"": ""TissueProperties"", ""fields"": [""absorption_coefficient"", ""reduced_scattering_coefficient"", ""refractive_index""]}",tissue_properties,tissue_config,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
dot_slot,Dot Slot,analysis,dot,"{""type"": ""FluenceMap + OpticalDensityData""}|{""type"": ""SegmentationMasks + Landmarks""}|{""type"": ""TwoSurfaceHeadModel + OptodePositions""}","{""type"": ""ConcentrationImage"", ""fields"": [""reconstructed_hbo"", ""reconstructed_hbr"", ""brain_surface_activation""]}|{""type"": ""FluenceMap"", ""fields"": [""fluence_per_channel"", ""sensitivity_matrix""]}|{""type"": ""TwoSurfaceHeadModel"", ""fields"": [""brain_surface"", ""scalp_surface"", ""landmarks"", ""voxel_to_vertex_mappings""]}",forward_model_simulation|head_model_construction|image_reconstruction,forward_model|head_model|image_recon,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
effect_size_slot,Effect Size Slot,analysis,general,"{""type"": ""GroupComparisonResults | any test results""}|{""type"": ""anova_results""}|{""type"": ""two_numeric_arrays | ttest_results""}","{""type"": ""EffectSizeResults"", ""fields"": [""cohens_d"", ""magnitude"", ""ci""]}|{""type"": ""EffectSizeResults"", ""fields"": [""effect_size_metric"", ""effect_size_value"", ""magnitude_interpretation"", ""confidence_interval""]}|{""type"": ""EffectSizeResults"", ""fields"": [""eta_squared"", ""partial_eta_squared"", ""omega_squared""]}",cohens_d|effect_size_calculation|eta_squared,effect_size,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
effective_connectivity_slot,Effective Connectivity Slot,analysis,general,"{""type"": ""HaemoglobinData + DCMModelSpecification""}","{""type"": ""DCMResults"", ""fields"": [""connection_matrix"", ""bayesian_model_comparison"", ""parameter_estimates""]}",dcm_fnirs,dcm,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
feature_extraction_slot,Feature Extraction Slot,machine_learning,general,"{""type"": ""EpochedData"", ""shape"": ""(n_epochs, n_channels, n_timepoints)""}|{""type"": ""HaemoglobinData | ConnectivityMatrix""}","{""type"": ""FeatureMatrix"", ""fields"": [""features"", ""feature_labels"", ""epoch_ids""]}|{""type"": ""FeatureMatrix""}",epoch_feature_extraction|feature_extraction,feature_extraction,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
filter_slot,Filter Slot,preprocessing,general,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""OpticalDensityData | HaemoglobinData""}",detrending|hpf_lpf_filter,detrending|filter,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
first_level_glm_slot,First Level Glm Slot,analysis,general,"{""type"": ""HaemoglobinData + DesignMatrix""}","{""type"": ""GLMResults""}",first_level_glm,first_level_glm,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
geometry_slot,Geometry Slot,preprocessing,general,"{""type"": ""OptodePositions""}","{""type"": ""ChannelDistances"", ""fields"": [""distances_mm"", ""long_channels"", ""short_channels""]}",channel_distance_computation,geometry,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
group_comparison_slot,Group Comparison Slot,analysis,general,"{""type"": ""DescriptiveStatistics | HaemoglobinData"", ""fields"": [""group_variable"", ""dependent_variable""]}|{""type"": ""data_with_groups_and_conditions""}|{""type"": ""factorial_design""}|{""type"": ""multiple_numeric_arrays""}|{""type"": ""numeric_array""}|{""type"": ""subjects_x_conditions_matrix""}|{""type"": ""two_numeric_arrays""}|{""type"": ""two_paired_arrays""}","{""type"": ""ANOVAResults"", ""fields"": [""f_factor_a"", ""f_factor_b"", ""f_interaction"", ""p_values""]}|{""type"": ""ANOVAResults"", ""fields"": [""f_statistic"", ""p_value"", ""df_between"", ""df_within"", ""eta_squared""]}|{""type"": ""ANOVAResults"", ""fields"": [""f_statistic"", ""p_value"", ""partial_eta_squared"", ""epsilon_correction""]}|{""type"": ""ANOVAResults"", ""fields"": [""f_within"", ""f_between"", ""f_interaction"", ""p_within"", ""p_between"", ""p_interaction""]}|{""type"": ""GroupComparisonResults"", ""fields"": [""test_statistic"", ""p_value"", ""effect_size"", ""confidence_interval""]}|{""type"": ""NonParametricResults"", ""fields"": [""chi2_statistic"", ""p_value""]}|{""type"": ""NonParametricResults"", ""fields"": [""h_statistic"", ""p_value"", ""epsilon_squared""]}|{""type"": ""NonParametricResults"", ""fields"": [""test_statistic"", ""p_value"", ""effect_size_r""]}|{""type"": ""NonParametricResults"", ""fields"": [""u_statistic"", ""p_value"", ""rank_biserial_correlation""]}|{""type"": ""TTestResults"", ""fields"": [""t_statistic"", ""p_value"", ""df"", ""ci""]}|{""type"": ""TTestResults"", ""fields"": [""t_statistic"", ""p_value"", ""df"", ""cohens_d""]}|{""type"": ""TTestResults"", ""fields"": [""t_statistic"", ""p_value"", ""df""]}",friedman_test|group_comparison|independent_ttest|kruskal_wallis|mann_whitney_u|mixed_anova|one_sample_ttest|one_way_anova|paired_ttest|repeated_measures_anova|two_way_anova|welch_ttest|wilcoxon_signed_rank,group_comparison|nonparametric_test|statistical_test,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
group_glm_slot,Group Glm Slot,analysis,general,"{""type"": ""GLMResults[]"", ""fields"": [""subject_contrast_maps"", ""design_matrix_group""]}|{""type"": ""GLMResults[]""}","{""type"": ""GroupGLMResults"", ""fields"": [""group_activation_map"", ""group_contrast"", ""random_effects""]}|{""type"": ""GroupGLMResults"", ""fields"": [""group_activation_map"", ""t_statistic"", ""p_value"", ""f_statistic""]}",group_glm_nirs_spm|group_level_glm,group_glm|group_level_glm,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
harmonization_slot,Harmonization Slot,preprocessing,general,"{""type"": ""FeatureMatrix + BatchLabels"", ""fields"": [""feature_matrix (features x subjects)"", ""batch_vector (subject x 1)"", ""covariates (optional)""]}","{""type"": ""HarmonizedMatrix"", ""fields"": [""harmonized_data"", ""batch_effects_estimates"", ""diagnostic_info""]}",combat_harmonization,harmonization,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
interpretation_slot,Interpretation Slot,machine_learning,interpretation,"{""type"": ""TrainedModel + InputData""}","{""type"": ""InterpretationResults"", ""fields"": [""feature_importance"", ""attention_weights"", ""gradcam_maps"", ""shap_values"", ""channel_importance_ranking""]}",model_interpretability,interpretability,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
laterality_slot,Laterality Slot,analysis,general,"{""type"": ""ROIResults | HaemoglobinData"", ""fields"": [""left_roi_activation"", ""right_roi_activation""]}","{""type"": ""LateralityResults"", ""fields"": [""laterality_index"", ""dominant_hemisphere"", ""bilateral_activation""]}",laterality_index,laterality_index,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
mbll_conversion_slot,Mbll Conversion Slot,preprocessing,general,"{""type"": ""OpticalDensityData""}","{""type"": ""HaemoglobinData""}",mbll_conversion,mbll_conversion,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
methods_report_generation_slot,Methods Report Generation Slot,reporting,general,"{""type"": ""ProcessingLog""}","{""type"": ""MethodsReportSection""}",methods_report_generation,methods_report_generation,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
model_optimization_slot,Model Optimization Slot,machine_learning,model_selection,"{""type"": ""model_config_space + training_data""}","{""type"": ""OptimizationResults"", ""fields"": [""best_params"", ""best_score"", ""search_history"", ""optimization_curve""]}",hyperparameter_optimization,optimization,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
motion_correction_slot,Motion Correction Slot,preprocessing,general,"{""type"": ""HaemoglobinData"", ""shape"": ""(n_timepoints, n_channels)""}|{""type"": ""OpticalDensityData | HaemoglobinData""}|{""type"": ""OpticalDensityData""}","{""type"": ""CorrectedHaemoglobinData"", ""fields"": [""corrected_hbo"", ""corrected_hbr""]}|{""type"": ""DenoisedHaemoglobinData"", ""fields"": [""cleaned_signal"", ""removed_components""]}|{""type"": ""OpticalDensityData | HaemoglobinData""}|{""type"": ""OpticalDensityData""}",cbsi_correction|ica_denoising|motion_correction|pca_denoising|spline_motion_correction,denoising|motion_correction,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
multiple_comparison_slot,Multiple Comparison Slot,analysis,general|resting_state,"{""type"": ""any test results"", ""fields"": [""p_values"", ""test_statistic""]}|{""type"": ""connectivity_matrix_per_subject""}|{""type"": ""p_values_array""}","{""type"": ""CorrectedResults"", ""fields"": [""corrected_p_values"", ""adjusted_alpha"", ""method"", ""significant_clusters""]}|{""type"": ""CorrectedResults"", ""fields"": [""corrected_p_values"", ""adjusted_alpha""]}|{""type"": ""CorrectedResults"", ""fields"": [""corrected_p_values"", ""rejected""]}|{""type"": ""NBSResults"", ""fields"": [""significant_edges"", ""component_size"", ""p_value""]}",bonferroni_correction|fdr_bh_correction|fdr_by_correction|multiple_comparison_correction|network_based_statistic,multiple_comparison_correction|nbs,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
network_analysis_slot,Network Analysis Slot,analysis,resting_state,"{""type"": ""ConnectivityMatrix""}","{""type"": ""GraphResults"", ""fields"": [""node_degree"", ""clustering_coefficient"", ""path_length"", ""efficiency"", ""modularity"", ""small_worldness""]}",graph_theory_metrics,graph_analysis,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
optical_density_conversion_slot,Optical Density Conversion Slot,preprocessing,general,"{""type"": ""RawData""}","{""type"": ""OpticalDensityData""}",optical_density_conversion,optical_density_conversion,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
permutation_slot,Permutation Slot,analysis,general,"{""type"": ""any test results"", ""fields"": [""observed_statistic"", ""group_labels""]}|{""type"": ""observations_x_channels_x_times""}|{""type"": ""statistic_map""}","{""type"": ""ClusterTestResults"", ""fields"": [""cluster_stats"", ""cluster_p_values"", ""significant_clusters""]}|{""type"": ""ClusterTestResults"", ""fields"": [""cluster_stats"", ""cluster_p_values""]}|{""type"": ""PermutationResults"", ""fields"": [""permutation_p_value"", ""null_distribution"", ""confidence_interval""]}|{""type"": ""TFCE_Results"", ""fields"": [""tfce_statistic_map"", ""p_value_map""]}",cluster_permutation_test|permutation_test|spatiotemporal_cluster_test|tfce_enhancement,cluster_test|permutation_test|tfce,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
post_hoc_slot,Post Hoc Slot,analysis,general,"{""type"": ""anova_results""}","{""type"": ""PostHocResults"", ""fields"": [""pairwise_comparisons"", ""adjusted_p_values"", ""significant_pairs""]}|{""type"": ""PostHocResults"", ""fields"": [""pairwise_comparisons"", ""adjusted_p_values""]}",post_hoc_games_howell|post_hoc_tukey,post_hoc,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
postprocessing_slot,Postprocessing Slot,analysis,resting_state,"{""type"": ""ConnectivityMatrix"", ""fields"": [""correlation_values""]}","{""type"": ""NormalizedConnectivityMatrix"", ""fields"": [""z_values""]}",fisher_z_transform,normalization,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
power_analysis_slot,Power Analysis Slot,analysis,general,"{""type"": ""power_parameters""}","{""type"": ""PowerResults"", ""fields"": [""achieved_power"", ""required_n"", ""minimum_detectable_effect""]}",power_analysis,power_analysis,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
preprocessing_config_slot,Preprocessing Config Slot,preprocessing,general,"{""type"": ""AcquisitionParameters"", ""fields"": [""wavelengths_nm"", ""sd_distance_mm"", ""age_years""]}|{""type"": ""WavelengthValues""}","{""type"": ""DPFResult"", ""fields"": [""dpf_values"", ""corrected_pathlengths""]}|{""type"": ""ExtinctionCoefficients"", ""fields"": [""coefficients"", ""chromophores"", ""wavelengths"", ""spectrum_source""]}",dpf_calculation|extinction_coefficients,config,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
preprocessing_slot,Preprocessing Slot,preprocessing,general,"{""type"": ""HaemoglobinData"", ""shape"": ""(n_timepoints, n_channels)""}","{""type"": ""SeparatedSignals"", ""fields"": [""functional_component_ks"", ""systemic_component_kf""]}",signal_separation,signal_separation,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
regression_slot,Regression Slot,analysis,general,"{""type"": ""design_matrix + binary_outcome""}|{""type"": ""design_matrix + dependent_variable""}","{""type"": ""LogisticResults"", ""fields"": [""odds_ratios"", ""p_values"", ""accuracy"", ""auc""]}|{""type"": ""RegressionResults"", ""fields"": [""beta_coefficients"", ""p_values"", ""r_squared"", ""residuals""]}",linear_regression|logistic_regression,regression,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
reliability_slot,Reliability Slot,analysis,general,"{""type"": ""any repeated measures"", ""fields"": [""session1_data"", ""session2_data""]}","{""type"": ""ReliabilityResults"", ""fields"": [""icc"", ""cronbach_alpha"", ""test_retest_correlation""]}",reliability_analysis,reliability,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
resting_connectivity_slot,Resting Connectivity Slot,analysis,general|resting_state,"{""type"": ""HaemoglobinData"", ""shape"": ""(n_subjects, n_timepoints, n_channels)""}|{""type"": ""HaemoglobinData"", ""shape"": ""(n_timepoints, n_channels)""}|{""type"": ""HaemoglobinData""}","{""type"": ""ALFFResults"", ""fields"": [""alff_map"", ""falff_map""]}|{""type"": ""ConnectivityMatrix"", ""fields"": [""cross_correlation_values"", ""time_lag"", ""significance""]}|{""type"": ""ConnectivityMatrix""}|{""type"": ""MIResults"", ""fields"": [""mi_matrix"", ""conditional_entropy_matrix"", ""transfer_entropy_matrix""]}",alff_falff|cross_correlation|mutual_information|resting_connectivity,amplitude_analysis|connectivity|information_theory|resting_connectivity,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
roi_analysis_slot,Roi Analysis Slot,analysis,general,"{""type"": ""HaemoglobinData | GLMResults"", ""fields"": [""channel_data"", ""roi_definition""]}","{""type"": ""ROIResults"", ""fields"": [""roi_mean"", ""roi_activation"", ""roi_labels""]}",roi_analysis,roi_analysis,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
sensitivity_slot,Sensitivity Slot,analysis,general,"{""type"": ""ChannelPositions + SourceDetectorLocations""}","{""type"": ""SensitivityMap"", ""fields"": [""sensitivity_values"", ""dpf_corrected"", ""depth_per_channel""]}",sensitivity_analysis,sensitivity,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
short_channel_regression_slot,Short Channel Regression Slot,preprocessing,general,"{""type"": ""HaemoglobinData""}","{""type"": ""HaemoglobinData""}",short_channel_regression,short_channel_regression,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
signal_decomposition_slot,Signal Decomposition Slot,analysis|preprocessing,general,"{""type"": ""HaemoglobinData + AuxiliarySignals""}|{""type"": ""HaemoglobinData + TargetSignal""}|{""type"": ""HaemoglobinData"", ""shape"": ""(n_timepoints, n_channels)""}","{""type"": ""ICAResults"", ""fields"": [""independent_components"", ""mixing_matrix"", ""unmixing_matrix""]}|{""type"": ""MultimodalResults"", ""fields"": [""shared_components"", ""modality_weights"", ""canonical_correlations""]}|{""type"": ""SpOCResults"", ""fields"": [""spatial_filters"", ""temporal_components"", ""covariance_patterns""]}",ica_signal_decomposition|multimodal_decomposition|spoc_decomposition,decomposition,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
signal_qc_slot,Signal Qc Slot,qc,general,"{""type"": ""OpticalDensityData""}","{""type"": ""ArtifactMask"", ""fields"": [""artifact_intervals"", ""artifact_channels""]}|{""type"": ""QualityMetric"", ""fields"": [""psp_values"", ""good_channels"", ""cardiac_power""]}",artifact_detection|peak_spectral_power,artifact_detection|quality_metric,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
signal_quality_check_slot,Signal Quality Check Slot,qc,general,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""QualityControlledData""}",signal_quality_check,signal_quality_check,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
simulation_slot,Simulation Slot,analysis,general,"{""type"": ""BrainSurface + SeedVertices""}|{""type"": ""CleanSignal""}","{""type"": ""ArtifactedSignal"", ""fields"": [""signal_with_artifacts"", ""artifact_mask"", ""artifact_parameters""]}|{""type"": ""SyntheticHRF"", ""fields"": [""hrf_timecourse"", ""spatial_activation_map"", ""stimulus_dataframe""]}",synthetic_artifact_generation|synthetic_hrf_generation,synthetic_data,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
spatial_registration_slot,Spatial Registration Slot,preprocessing,general,"{""type"": ""3DScanPointCloud + HeadModel""}|{""type"": ""ChannelPositions"", ""fields"": [""channel_names"", ""source_positions"", ""detector_positions""]}|{""type"": ""OptodeOrChannelLocations"", ""fields"": [""fiducials"", ""optode_positions"", ""channel_positions"", ""optional_subject_mri"", ""optional_digitizer_points""]}","{""type"": ""ProjectedMNIChannels"", ""fields"": [""mni_coordinates"", ""head_surface_projection"", ""cortical_surface_projection"", ""anatomical_labels"", ""probabilistic_boundary"", ""registration_path""]}|{""type"": ""RegisteredChannels"", ""fields"": [""mni_coordinates"", ""anatomical_labels"", ""brodmann_areas""]}|{""type"": ""RegisteredOptodes"", ""fields"": [""optode_positions"", ""alignment_transform"", ""fiducial_points""]}",mni_registration|nirs_spm_spatial_registration_projection|photogrammetry_coregistration,coregistration|registration,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
task_glm_slot,Task Glm Slot,analysis,task_based,"{""type"": ""HaemoglobinData + DesignMatrix""}","{""type"": ""GLMResults"", ""fields"": [""beta_map"", ""contrast_map"", ""residuals"", ""r_squared""]}",glm_with_drift,glm,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
validation_slot,Validation Slot,machine_learning,validation,"{""type"": ""Data + Labels + SubjectIDs""}","{""type"": ""CVResults"", ""fields"": [""fold_accuracies"", ""mean_accuracy"", ""std_accuracy"", ""confusion_matrix"", ""per_fold_predictions""]}",subject_wise_cross_validation,validation,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
