atom_id,study_id,domain,scenario,operation,method_label,target_flow_slot,target_atom_type,input_schema,output_schema,parameters,parameter_status,applicable_when,not_applicable_when,required_metadata_keys,required_user_confirmations,missing_for_execution,evidence_use,evidence_refs,confidence,readiness_status,review_required,notes,method_readiness,execution_readiness,execution_scope,input_port,output_port
ATOM_ml_classification,builtin,machine_learning,general,classification,Classification,classification_slot,classification,"{""type"": ""FeatureMatrix""}","{""type"": ""ClassificationResults""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,FeatureMatrix,ClassificationResults
ATOM_methods_report,builtin,reporting,general,methods_report_generation,Methods Report Generation,methods_report_generation_slot,methods_report_generation,"{""type"": ""ProcessingLog""}","{""type"": ""MethodsReportSection""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,ProcessingLog,MethodsReportSection
ATOM_data_export,builtin,export,general,data_export,Data Export,data_export_slot,data_export,"{""type"": ""any""}","{""type"": ""ExportedFile""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,project,any,ExportedFile
ATOM_descriptive_statistics,builtin,analysis,general,descriptive_statistics,Descriptive Statistics,descriptive_statistics_slot,descriptive_statistics,"{""type"": ""HaemoglobinData | GLMResults | ConnectivityMatrix | FeatureMatrix""}","{""type"": ""DescriptiveStatistics"", ""fields"": [""mean"", ""std"", ""median"", ""count"", ""per_condition"", ""per_channel"", ""per_roi""]}","{""grouping_variable"": ""condition"", ""summary_measures"": [""mean"", ""std"", ""median"", ""count"", ""min"", ""max""]}","{""grouping_variable"": ""candidate"", ""summary_measures"": ""candidate""}",{},{},[],[],,method_atom,synthesis_of_statistical_practices,high,ready,true,"Per-condition, per-channel, per-ROI summary statistics. Standard across all fNIRS studies.",ready,ready,run,HaemoglobinData | GLMResults | ConnectivityMatrix | FeatureMatrix,DescriptiveStatistics
ATOM_group_comparison,builtin,analysis,general,group_comparison,Group Comparison (t-test / ANOVA),group_comparison_slot,group_comparison,"{""type"": ""DescriptiveStatistics | HaemoglobinData"", ""fields"": [""group_variable"", ""dependent_variable""]}","{""type"": ""GroupComparisonResults"", ""fields"": [""test_statistic"", ""p_value"", ""effect_size"", ""confidence_interval""]}","{""test_type"": ""t-test | ANOVA | mixed ANOVA | non-parametric"", ""paired"": ""boolean"", ""alternative"": ""two-sided"", ""alpha"": 0.05}","{""test_type"": ""candidate"", ""paired"": ""candidate"", ""alternative"": ""candidate"", ""alpha"": ""candidate""}","{""has_groups"": true}",{},"[""group_variable""]",[],test_type,method_atom,synthesis_of_statistical_practices,high,ready,true,"Between-group or within-group comparison. Common: paired t-test, independent t-test, one-way ANOVA, repeated-measures ANOVA, mixed ANOVA. Non-parametric alternatives: Wilcoxon, Mann-Whitney, Kruskal-Wallis.",ready,needs_attention,group,DescriptiveStatistics | HaemoglobinData,GroupComparisonResults
ATOM_effect_size,builtin,analysis,general,effect_size_calculation,Effect Size Calculation,effect_size_slot,effect_size,"{""type"": ""GroupComparisonResults | any test results""}","{""type"": ""EffectSizeResults"", ""fields"": [""effect_size_metric"", ""effect_size_value"", ""magnitude_interpretation"", ""confidence_interval""]}","{""metric"": ""Cohen_d | eta_squared | partial_eta_squared | omega_squared | Cliff_delta"", ""magnitude_thresholds"": {""small"": 0.2, ""medium"": 0.5, ""large"": 0.8}}","{""metric"": ""candidate"", ""magnitude_thresholds"": ""candidate""}",{},{},[],[],,method_atom,synthesis_of_statistical_practices,high,ready,true,"Cohen d for two-group comparisons, eta-squared for ANOVA. Report with 95% CI. Essential for meta-analysis and clinical significance.",ready,ready,run,GroupComparisonResults | any test results,EffectSizeResults
ATOM_multiple_comparison_correction,builtin,analysis,general,multiple_comparison_correction,Multiple Comparison Correction,multiple_comparison_slot,multiple_comparison_correction,"{""type"": ""any test results"", ""fields"": [""p_values"", ""test_statistic""]}","{""type"": ""CorrectedResults"", ""fields"": [""corrected_p_values"", ""adjusted_alpha"", ""method"", ""significant_clusters""]}","{""method"": ""Bonferroni | FDR_BH | FDR_BY | FWE_cluster | FWE_threshold | permutation | NBS"", ""alpha"": 0.05, ""two_sided"": true}","{""method"": ""candidate"", ""alpha"": ""candidate"", ""two_sided"": ""candidate""}",{},{},[],[],,method_atom,synthesis_of_statistical_practices,high,ready,true,FDR (Benjamini-Hochberg) most common in fNIRS literature. Bonferroni conservative. Permutation/NBS for spatial extent. Cluster-based correction for topological analysis.,ready,ready,run,any test results,CorrectedResults
ATOM_roi_analysis,builtin,analysis,general,roi_analysis,ROI Analysis,roi_analysis_slot,roi_analysis,"{""type"": ""HaemoglobinData | GLMResults"", ""fields"": [""channel_data"", ""roi_definition""]}","{""type"": ""ROIResults"", ""fields"": [""roi_mean"", ""roi_activation"", ""roi_labels""]}","{""roi_method"": ""mean | median | pca | weighted_average"", ""roi_atlas"": ""anatomical | functional | custom"", ""extraction_method"": ""mean | peak | pca""}","{""roi_method"": ""candidate"", ""roi_atlas"": ""candidate"", ""extraction_method"": ""candidate""}","{""has_roi_definition"": true}",{},"[""roi_definition""]",[],roi_definition,method_atom,synthesis_of_statistical_practices,high,ready,true,"Aggregate channel-level data to anatomical ROIs (DLPFC, VLPFC, etc.). Mean or PCA extraction. Critical for group-level inference and comparison across studies.",ready,needs_attention,run,HaemoglobinData | GLMResults,ROIResults
ATOM_laterality_index,builtin,analysis,general,laterality_index,Laterality Index,laterality_slot,laterality_index,"{""type"": ""ROIResults | HaemoglobinData"", ""fields"": [""left_roi_activation"", ""right_roi_activation""]}","{""type"": ""LateralityResults"", ""fields"": [""laterality_index"", ""dominant_hemisphere"", ""bilateral_activation""]}","{""formula"": ""LI = (L-R)/(L+R)"", ""hemisphere_atlas"": ""anatomical | functional | custom"", ""interpretation_thresholds"": {""lateralized"": 0.2, ""bilateral"": [-0.2, 0.2]}}","{""formula"": ""candidate"", ""hemisphere_atlas"": ""candidate"", ""interpretation_thresholds"": ""candidate""}","{""has_bilateral_channels"": true}",{},"[""hemisphere_labels""]",[],,method_atom,synthesis_of_statistical_practices,medium,ready,true,"Left vs right hemisphere activation comparison. LI = (Left-Right)/(Left+Right). Positive = left lateralized, Negative = right lateralized, Near-zero = bilateral.",ready,needs_attention,run,ROIResults | HaemoglobinData,LateralityResults
ATOM_correlation_analysis,builtin,analysis,general,correlation_analysis,Correlation Analysis,correlation_slot,correlation,"{""type"": ""any numeric data"", ""fields"": [""variable_x"", ""variable_y""]}","{""type"": ""CorrelationResults"", ""fields"": [""correlation_coefficient"", ""p_value"", ""confidence_interval"", ""r_squared""]}","{""method"": ""Pearson | Spearman | Kendall | partial_correlation"", ""alternative"": ""two-sided"", ""ci_level"": 0.95}","{""method"": ""candidate"", ""alternative"": ""candidate"", ""ci_level"": ""candidate""}",{},{},[],[],,method_atom,synthesis_of_statistical_practices,high,ready,true,"Bivariate or partial correlation between hemodynamic measures and behavioral/clinical variables. Pearson for linear, Spearman for monotonic.",ready,ready,run,any numeric data,CorrelationResults
ATOM_permutation_test,builtin,analysis,general,permutation_test,Permutation Test,permutation_slot,permutation_test,"{""type"": ""any test results"", ""fields"": [""observed_statistic"", ""group_labels""]}","{""type"": ""PermutationResults"", ""fields"": [""permutation_p_value"", ""null_distribution"", ""confidence_interval""]}","{""n_permutations"": 10000, ""test_type"": ""independent | paired | cluster"", ""correction"": ""max_stat | cluster | tfce"", ""seed"": ""reproducible_random_seed""}","{""n_permutations"": ""candidate"", ""test_type"": ""candidate"", ""correction"": ""candidate"", ""seed"": ""candidate""}",{},{},[],[],,method_atom,synthesis_of_statistical_practices,high,ready,true,Non-parametric significance testing. No distributional assumptions. Common for fNIRS spatial analysis. Cluster-based or TFCE correction.,ready,ready,run,any test results,PermutationResults
ATOM_group_level_glm,builtin,analysis,general,group_level_glm,Group-Level GLM,group_glm_slot,group_level_glm,"{""type"": ""GLMResults[]"", ""fields"": [""subject_contrast_maps"", ""design_matrix_group""]}","{""type"": ""GroupGLMResults"", ""fields"": [""group_activation_map"", ""group_contrast"", ""random_effects""]}","{""model_type"": ""random_effects | mixed_effects | fixed_effects"", ""group_covariates"": ""age | sex | handedness | clinical_score"", ""contrast_type"": ""one_sample_t | two_sample_t | paired_t | regression""}","{""model_type"": ""candidate"", ""group_covariates"": ""candidate"", ""contrast_type"": ""candidate""}","{""n_subjects"": "">1""}",{},"[""subject_contrast_maps""]",[],,method_atom,synthesis_of_statistical_practices,high,ready,true,"Second-level analysis: one-sample t-test for group activation, two-sample t for group comparison, regression for continuous predictors. Random effects standard.",ready,needs_attention,group,GLMResults[],GroupGLMResults
ATOM_reliability_analysis,builtin,analysis,general,reliability_analysis,Reliability Analysis,reliability_slot,reliability,"{""type"": ""any repeated measures"", ""fields"": [""session1_data"", ""session2_data""]}","{""type"": ""ReliabilityResults"", ""fields"": [""icc"", ""cronbach_alpha"", ""test_retest_correlation""]}","{""method"": ""ICC | Cronbach_alpha | test_retest | split_half"", ""icc_type"": ""ICC_2_1 | ICC_3_1 | ICC_2_k"", ""alpha"": 0.05}","{""method"": ""candidate"", ""icc_type"": ""candidate"", ""alpha"": ""candidate""}","{""has_repeated_measures"": true}",{},[],[],,method_atom,synthesis_of_statistical_practices,medium,ready,true,Assessment of measurement reliability. ICC for inter-rater or test-retest reliability. Cronbach alpha for internal consistency. Critical for clinical translation.,ready,ready,run,any repeated measures,ReliabilityResults
ATOM_spline_motion_correction,builtin,preprocessing,general,spline_motion_correction,Cubic Spline Motion Correction,motion_correction_slot,motion_correction,"{""type"": ""OpticalDensityData""}","{""type"": ""OpticalDensityData""}","{""spline_order"": 3, ""motion_threshold"": 0.6, ""interpolation_method"": ""cubic_spline""}","{""spline_order"": ""reported"", ""motion_threshold"": ""reported"", ""interpolation_method"": ""reported""}","{""has_motion_artifacts"": true}",{},[],[],,method_atom,Homer3_hmrR_MotionCorrectSpline,high,ready,true,Homer3 hmrR_MotionCorrectSpline.m: Scholkmann et al. 2010. Cubic spline interpolation for motion artifact removal.,ready,ready,run,OpticalDensityData,OpticalDensityData
ATOM_artifact_detection,builtin,qc,general,artifact_detection,Motion Artifact Detection,signal_qc_slot,artifact_detection,"{""type"": ""OpticalDensityData""}","{""type"": ""ArtifactMask"", ""fields"": [""artifact_intervals"", ""artifact_channels""]}","{""method"": ""sd_threshold | amplitude_threshold | combined"", ""sd_threshold"": 6, ""amplitude_threshold_uM"": 0.1, ""min_artifact_duration_s"": 0.1}","{""method"": ""reported"", ""sd_threshold"": ""reported"", ""amplitude_threshold_uM"": ""reported""}",{},{},[],[],,method_atom,Homer3_hmrR_MotionArtifactByChannel,high,ready,true,Homer3 hmrR_MotionArtifactByChannel.m: SD or amplitude threshold-based artifact detection per channel.,ready,ready,run,OpticalDensityData,ArtifactMask
ATOM_pca_denoising,builtin,preprocessing,general,pca_denoising,PCA Denoising,motion_correction_slot,denoising,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""OpticalDensityData | HaemoglobinData""}","{""n_components"": ""auto"", ""variance_threshold"": 0.95, ""apply_to"": ""short_channels""}","{""n_components"": ""candidate"", ""variance_threshold"": ""candidate"", ""apply_to"": ""candidate""}","{""has_short_channels"": true}",{},[],[],,method_atom,Homer3_hmrR_PCAFilter,high,ready,true,Homer3 hmrR_PCAFilter.m: PCA-based physiological noise reduction using short-channel signals.,ready,ready,run,OpticalDensityData | HaemoglobinData,OpticalDensityData | HaemoglobinData
ATOM_block_average,builtin,analysis,task_based,block_average,Block/Trial Averaging,block_average_slot,block_average,"{""type"": ""HaemoglobinData + EventsTable""}","{""type"": ""AveragedResponse"", ""fields"": [""condition_averages"", ""standard_error"", ""time_vector""]}","{""baseline_correction"": ""pre_stimulus"", ""baseline_window_s"": [-5, 0], ""exclude_artifact_trials"": true, ""grand_average"": false}","{""baseline_correction"": ""reported"", ""baseline_window_s"": ""reported"", ""exclude_artifact_trials"": ""candidate""}","{""has_task_design"": true}","{""resting_state"": true}","[""events_table""]",[],,method_atom,Homer3_hmrR_BlockAvg,high,ready,true,Homer3 hmrR_BlockAvg.m: Trial-by-trial averaging with baseline correction. Standard for block/task designs.,ready,ready,run,HaemoglobinData + EventsTable,AveragedResponse
ATOM_glm_with_drift,builtin,analysis,task_based,glm_with_drift,GLM with Drift and Short-Separation Regression,task_glm_slot,glm,"{""type"": ""HaemoglobinData + DesignMatrix""}","{""type"": ""GLMResults"", ""fields"": [""beta_map"", ""contrast_map"", ""residuals"", ""r_squared""]}","{""hrf_model"": ""canonical | canonical_with_derivative | fir"", ""drift_order"": 3, ""short_channel_regression"": true, ""autocorrelation_model"": ""ar1 | none"", ""basis_function"": ""hrf | hrf_derivative | fir""}","{""hrf_model"": ""reported"", ""drift_order"": ""reported"", ""short_channel_regression"": ""reported"", ""autocorrelation_model"": ""candidate""}","{""has_task_design"": true}","{""resting_state"": true}","[""design_matrix"", ""contrasts""]",[],,method_atom,Homer3_hmrR_GLM,high,ready,true,"Homer3 hmrR_GLM.m: Full GLM with drift polynomial, short-separation regression, and AR(1) noise model.",ready,ready,run,HaemoglobinData + DesignMatrix,GLMResults
ATOM_detrending,builtin,preprocessing,general,detrending,Signal Detrending,filter_slot,detrending,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""OpticalDensityData | HaemoglobinData""}","{""method"": ""linear | polynomial | wavelet_mdl | spline"", ""polynomial_order"": 2, ""wavelet_level"": 10}","{""method"": ""candidate"", ""polynomial_order"": ""candidate"", ""wavelet_level"": ""candidate""}",{},{},[],[],,method_atom,NIRS_SPM_detrend_wavelet_MDL,high,ready,true,NIRS_SPM detrend_wavelet_MDL.m: Wavelet-based detrending with MDL thresholding. Removes slow drift.,ready,ready,run,OpticalDensityData | HaemoglobinData,OpticalDensityData | HaemoglobinData
ATOM_hpf_lpf_filter,builtin,preprocessing,general,hpf_lpf_filter,High-Pass / Low-Pass Filtering,filter_slot,filter,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""OpticalDensityData | HaemoglobinData""}","{""hpf_cutoff_hz"": 0.01, ""lpf_cutoff_hz"": 0.5, ""hpf_method"": ""dct | butterworth | sinc"", ""lpf_method"": ""gaussian | butterworth | hrf_convolution"", ""filter_order"": 5}","{""hpf_cutoff_hz"": ""reported"", ""lpf_cutoff_hz"": ""reported"", ""hpf_method"": ""candidate"", ""lpf_method"": ""candidate""}",{},{},[],[],,method_atom,NIRS_SPM_spm_filter_HPF_LPF,high,ready,true,"NIRS_SPM spm_filter_HPF_LPF.m: DCT-based high-pass, Gaussian/HRF-based low-pass. Standard SPM filtering.",ready,ready,run,OpticalDensityData | HaemoglobinData,OpticalDensityData | HaemoglobinData
ATOM_precoloring,builtin,analysis,general,precoloring,Temporal Precoloring for AR(1),analysis_preprocessing_slot,noise_modeling,"{""type"": ""HaemoglobinData""}","{""type"": ""HaemoglobinData"", ""fields"": [""precolored_data"", ""noise_estimate""]}","{""ar_order"": 1, ""method"": ""precoloring | prewhitening""}","{""ar_order"": ""candidate"", ""method"": ""candidate""}",{},{},[],[],,method_atom,NIRS_SPM_precoloring,medium,ready,true,NIRS_SPM precoloring.m: Temporal precoloring for AR(1) noise modeling in GLM. Corrects temporal autocorrelation.,ready,ready,run,HaemoglobinData,HaemoglobinData
ATOM_group_glm_nirs_spm,builtin,analysis,general,group_glm_nirs_spm,Group-Level GLM (NIRS_SPM),group_glm_slot,group_glm,"{""type"": ""GLMResults[]""}","{""type"": ""GroupGLMResults"", ""fields"": [""group_activation_map"", ""t_statistic"", ""p_value"", ""f_statistic""]}","{""model_type"": ""random_effects"", ""group_contrast"": ""one_sample_t | two_sample_t"", ""smoothness_estimate"": ""precoloring | prewhitening""}","{""model_type"": ""reported"", ""group_contrast"": ""reported"", ""smoothness_estimate"": ""candidate""}","{""n_subjects"": "">1""}",{},"[""subject_glm_results""]",[],,method_atom,NIRS_SPM_nirs_spm_group,high,ready,true,NIRS_SPM nirs_spm_group.m: Group-level random effects GLM with F-statistic computation.,ready,needs_attention,group,GLMResults[],GroupGLMResults
ATOM_sensitivity_analysis,builtin,analysis,general,sensitivity_analysis,Monte Carlo Sensitivity Analysis,sensitivity_slot,sensitivity,"{""type"": ""ChannelPositions + SourceDetectorLocations""}","{""type"": ""SensitivityMap"", ""fields"": [""sensitivity_values"", ""dpf_corrected"", ""depth_per_channel""]}","{""mc_iterations"": 10000, ""mu_a_range"": [0.01, 0.1], ""mu_s_range"": [1.0, 10.0], ""head_model"": ""semi_infinite | layered""}","{""mc_iterations"": ""candidate"", ""mu_a_range"": ""candidate"", ""mu_s_range"": ""candidate""}",{},{},"[""source_detector_positions""]",[],,method_atom,SPM_DCM_fnirs_sensitivity,high,ready,true,SPM dcm_fnirs spm_fnirs_sensitivity.m: Monte Carlo photon migration for sensitivity profiling.,ready,ready,run,ChannelPositions + SourceDetectorLocations,SensitivityMap
ATOM_dcm_fnirs,builtin,analysis,general,dcm_fnirs,Dynamic Causal Modeling for fNIRS,effective_connectivity_slot,dcm,"{""type"": ""HaemoglobinData + DCMModelSpecification""}","{""type"": ""DCMResults"", ""fields"": [""connection_matrix"", ""bayesian_model_comparison"", ""parameter_estimates""]}","{""model_type"": ""bilinear | nonlinear"", ""hemodynamic_model"": ""spm | hrf"", ""pial_vein_correction"": true, ""estimation_method"": ""variational_bayes""}","{""model_type"": ""candidate"", ""hemodynamic_model"": ""candidate"", ""pial_vein_correction"": ""candidate""}","{""has_region_of_interest"": true}",{},"[""region_definitions"", ""model_specification""]",[],,method_atom,SPM_DCM_fnirs_estimate,high,ready,true,SPM dcm_fnirs: Dynamic causal modeling for effective connectivity estimation from fNIRS data.,ready,ready,run,HaemoglobinData + DCMModelSpecification,DCMResults
ATOM_cross_correlation,builtin,analysis,resting_state,cross_correlation,Cross-Correlation Analysis,resting_connectivity_slot,connectivity,"{""type"": ""HaemoglobinData""}","{""type"": ""ConnectivityMatrix"", ""fields"": [""cross_correlation_values"", ""time_lag"", ""significance""]}","{""max_lag_s"": 5, ""significance_method"": ""permutation | analytical"", ""n_permutations"": 1000}","{""max_lag_s"": ""candidate"", ""significance_method"": ""candidate""}",{},{},[],[],,method_atom,Homer3_hmrR_CrossCorrelation,high,ready,true,Homer3 hmrR_CrossCorrelation.m: Cross-correlation with time-lag estimation for functional connectivity.,ready,ready,run,HaemoglobinData,ConnectivityMatrix
ATOM_hardware_import,builtin,data_import,general,hardware_import,Multi-Hardware Data Import,data_import_slot,data_import,"{""type"": ""raw_file_path + hardware_format""}","{""type"": ""RawData"", ""fields"": [""optical_density"", ""timestamps"", ""events"", ""channel_positions""]}","{""supported_formats"": ""NIRx | Hitachi | ISS | Shimadzu | Artinis | Gowerlabs | BOXY | SNIRF"", ""dpf_correction"": true, ""wavelength_validation"": true}","{""supported_formats"": ""reported"", ""dpf_correction"": ""candidate"", ""wavelength_validation"": ""candidate""}",{},{},"[""hardware_format""]",[],,method_atom,NIRS_SPM_NIRS_Data_Conversion,high,ready,true,NIRS_SPM NIRS_Data_Conversion.m + Homer3 SNIRF: Multi-format import with DPF correction.,ready,ready,run,raw_file_path + hardware_format,RawData
ATOM_combat_harmonization,builtin,preprocessing,general,combat_harmonization,ComBat Multi-Site Harmonization,harmonization_slot,harmonization,"{""type"": ""FeatureMatrix + BatchLabels"", ""fields"": [""feature_matrix (features x subjects)"", ""batch_vector (subject x 1)"", ""covariates (optional)""]}","{""type"": ""HarmonizedMatrix"", ""fields"": [""harmonized_data"", ""batch_effects_estimates"", ""diagnostic_info""]}","{""method"": ""ComBat"", ""eb"": true, ""parametric"": true, ""mean_only"": false, ""ref_batch"": null, ""covariates_to_preserve"": ""biological_variables (e.g. age, sex, disease_status)"", ""implementations"": ""Python (neuroCombat) | R (sva/ComBatHarmonization) | MATLAB""}","{""method"": ""reported"", ""eb"": ""reported"", ""parametric"": ""reported"", ""mean_only"": ""reported"", ""ref_batch"": ""candidate"", ""covariates_to_preserve"": ""candidate""}","{""multi_site_or_scanner"": true}","{""single_site_only"": true}","[""batch_labels"", ""site_information""]","[""confirm_biological_covariates_to_protect""]",,method_atom,Fortin2017_NeuroImage; Fortin2018_NeuroImage; Johnson2007_Biostatistics,high,ready,true,"ComBat harmonization for multi-site fNIRS data. Removes unwanted scanner/site variation while preserving biological variability. Requires batch labels and optionally biological covariates to protect. Python: neuroCombat (pip install neuroCombat). R: sva::ComBat or ComBatHarmonization. Key parameters: eb (empirical Bayes), parametric (parametric vs non-parametric priors), mean_only (adjust mean only vs mean+variance), ref_batch (reference site). Cite: Fortin et al. NeuroImage 2017 (DTI), 2018 (cortical thickness).",ready,needs_attention,group,FeatureMatrix + BatchLabels,HarmonizedMatrix
ATOM_one_sample_ttest,builtin,analysis,general,one_sample_ttest,One-Sample t-Test,group_comparison_slot,statistical_test,"{""type"": ""numeric_array""}","{""type"": ""TTestResults"", ""fields"": [""t_statistic"", ""p_value"", ""df"", ""ci""]}","{""popmean"": 0, ""alternative"": ""two-sided""}","{""popmean"": ""candidate"", ""alternative"": ""candidate""}",{},{},[],[],,method_atom,MNE_ttest_1samp,high,ready,true,Test group mean against hypothesized value. MNE: ttest_1samp_no_p. Common for activation vs zero baseline.,ready,needs_attention,group,numeric_array,TTestResults
ATOM_independent_ttest,builtin,analysis,general,independent_ttest,Independent Samples t-Test,group_comparison_slot,statistical_test,"{""type"": ""two_numeric_arrays""}","{""type"": ""TTestResults"", ""fields"": [""t_statistic"", ""p_value"", ""df"", ""cohens_d""]}","{""equal_var"": true, ""alternative"": ""two-sided""}","{""equal_var"": ""candidate"", ""alternative"": ""candidate""}","{""has_two_groups"": true}",{},"[""group_labels""]",[],,method_atom,MNE_ttest_ind,high,ready,true,Between-group comparison. MNE: ttest_ind_no_p. Assumes normality and equal variance.,ready,needs_attention,group,two_numeric_arrays,TTestResults
